quarter,actual,dfm_ssm,dfm_dfmq
2010Q1,2.1,1.4618359294832524,1.608536359099797
2010Q2,1.2,2.412644360090848,2.529377130570259
2010Q3,1.2,1.2927062954205892,1.3260425147129065
2010Q4,0.7,2.0972202826131987,2.494360538631788
2011Q1,0.2,1.2144766011979695,1.4994853205971683
2011Q2,0.7,0.8840167574645861,0.931658818467307
2011Q3,0.5,0.96656578910345,1.2799992752530946
2011Q4,0.8,0.4597729715079503,1.0844399073919675
2012Q1,0.3,0.6502817276197599,0.5013108336334275
2012Q2,0.2,0.8666392739648492,1.096557707353762
2012Q3,0.1,0.8456744654997708,0.9335808912235856
2012Q4,-0.1,-0.33422710846470405,-0.6267309036352338
2013Q1,0.0,0.747294909336956,0.1897892299767272
2013Q2,0.3,1.2018898419748083,1.593316868020295
2013Q3,0.5,0.8194879017465051,0.5782231751740855
2013Q4,0.6,1.0551372124098375,0.44622645582672626
2014Q1,0.6,0.9769702427069504,0.9353204367573646
2014Q2,0.8,0.8625068800446319,1.2676656419518064
2014Q3,1.0,0.5372936449074244,1.4995155148933104
2014Q4,1.1,1.1626835200248693,1.4205084337277747
2015Q1,1.9,1.0662766117583455,0.878975009017171
2015Q2,1.2,1.0881119008761568,0.7398836859054784
2015Q3,1.2,1.0225425734788733,2.3940752960722707
2015Q4,0.7,0.625815546481124,1.0769412088732855
2016Q1,0.0,0.9269066850910614,1.2641762434665333
2016Q2,0.2,0.7973273995824851,1.547030150676753
2016Q3,0.4,0.48742738685809917,-0.11040258119100521
2016Q4,0.6,1.0424527370877479,1.367015164566293
2017Q1,0.7,0.932244211575141,0.9503389349503101
2017Q2,0.9,1.4234931813384186,1.5416862145171444
2017Q3,0.8,1.4643469296401577,1.3126026983458525
2017Q4,1.2,1.4039376183201582,0.601870442999496
2018Q1,1.0,0.2785424551292286,0.34389321603327283
2018Q2,1.2,1.0506903597049815,0.533364905657066
2018Q3,1.0,0.43150984594604647,0.14530684268833927
2018Q4,0.5,0.3685085039142332,0.5529105601448667
2019Q1,0.7,0.7760776089487836,1.0315692121797064
2019Q2,0.2,0.4487853800106039,0.39586070902498793
2019Q3,0.3,0.21803993909565644,0.11102390330672096
2019Q4,0.6,0.13476109930259206,0.659983417720325
2020Q1,-2.3,-0.2896126743551094,1.9073573680387264
2020Q2,-7.7,-8.661347839751043,-12.064246815357432
2020Q3,9.9,8.322976853548601,7.150806653343993
2020Q4,0.8,3.012307961082367,1.6392221411423655
2021Q1,1.1,0.41843118798148454,0.9685840215141257
2021Q2,1.0,0.4293221350186809,0.8081584289096748
2021Q3,0.6,0.003196242222778478,1.5362921750010072
2021Q4,0.3,1.7274889817488308,1.1428805339458594
2022Q1,-0.3,0.7334384977553283,1.583756438966797
2022Q2,-0.3,0.6856320652378339,0.1945830224035029
2022Q3,0.2,1.0599904763673194,0.18739323001737773
2022Q4,0.4,0.4065316200818397,0.26329424772877374
2023Q1,0.6,1.0418261713256327,0.8722318038705247
2023Q2,0.9,0.14234406316207737,-0.30862375325560354
2023Q3,0.8,-0.3240848815927003,-0.2993716266874331
2023Q4,0.5,0.4062945972471322,0.6097226669292363
2024Q1,0.6,0.3285661921376713,0.2896494240651022
2024Q2,0.3,0.4709470123323072,0.964455515890424
2024Q3,0.1,0.5760488550030768,0.527630478948539
2024Q4,0.3,0.5011853273887681,0.5697506042064796
2025Q1,0.1,1.3962398345281382,0.6794831336808217
2025Q2,0.2,0.43541898940346596,0.6036921743061567
2025Q3,0.3,0.3208333622532,0.648002748807366
2025Q4,0.2,0.8151586723630811,0.6620526834283681
2026Q1,0.2,0.3384486674470688,0.2504165291339231
