quarter,actual,h1,h2,h3
2012Q1,0.3,1.1255920761110814,1.5176903518966804,0.8320715694682497
2012Q2,0.2,1.2468962416986829,1.1019750099871624,1.001282714976839
2012Q3,0.1,1.2043525299132702,0.4341833670776237,1.2719534537242292
2012Q4,-0.1,1.2963608103006796,-0.14352094684735306,-0.299117268507737
2013Q1,0.0,1.116360565924305,0.6635206948216382,0.2599314664915975
2013Q2,0.3,1.8713155037478622,2.335646273432158,1.764908961018643
2013Q3,0.5,0.13741744237466336,1.416113649045454,0.5017859717003313
2013Q4,0.6,1.7069065197071225,1.2722355228050444,0.2884075191969553
2014Q1,0.6,1.7716792798125485,0.6132724448548554,0.5909781547023234
2014Q2,0.8,1.426517150911132,1.1277844237424586,1.2657622398314021
2014Q3,1.0,1.113612032384813,0.6472743424376997,1.4039002590358838
2014Q4,1.1,-0.03978188720524356,1.4500722486499962,1.194883497414113
2015Q1,1.9,0.9372158282339896,1.5258850516477942,0.8188951935154744
2015Q2,1.2,1.2670676446930214,1.1637038025092636,0.5980056600835062
2015Q3,1.2,0.7722527194137848,1.1469751653299958,2.41520037066551
2015Q4,0.7,0.08264319367440476,0.8511862779895624,1.043778138141545
2016Q1,0.0,1.2127994926643155,1.0142337986164558,1.4714543673671832
2016Q2,0.2,1.1113944411884218,0.3685318790223062,1.4554528341413946
2016Q3,0.4,0.7602299565012844,1.356094202932867,-0.19561031595379919
2016Q4,0.6,1.5809826126096178,0.9081630175420461,1.3093946197663484
2017Q1,0.7,0.8962769569393441,0.48642011435371646,1.002238823280273
2017Q2,0.9,1.0108341009209785,0.9656701450228057,1.492935352977282
2017Q3,0.8,0.8826210898678606,0.5467264881526176,1.2382355452634737
2017Q4,1.2,1.4893881184752034,0.7724009725463645,0.5945543399287476
2018Q1,1.0,1.382959430525479,0.6226595231889861,0.1572880989446751
2018Q2,1.2,0.7513324264693694,1.1003980653022079,0.3827503679667067
2018Q3,1.0,1.1859658024831319,1.3277278327846436,-0.050058073034413564
2018Q4,0.5,1.1439877919680987,0.5700717336650953,0.47915511434026914
2019Q1,0.7,0.69154813657532,0.9923335906767494,1.0527307894075169
2019Q2,0.2,0.12449458372104372,0.6715428617429617,0.4486259825300506
2019Q3,0.3,0.4041802410759743,-0.1711634865948436,0.09936211310251175
2019Q4,0.6,0.5620003986062105,0.5327753629987508,0.5735062064538023
2020Q1,-2.3,1.0919434561547705,-0.018689331423534572,2.0143486181949948
2020Q2,-7.7,-2.151520991067653,-7.210859711889326,-10.809193186262206
2020Q3,9.9,5.623441586553344,7.289374229594508,6.600776997472474
2020Q4,0.8,1.8368830508683693,1.51959008329175,1.8833078613105911
2021Q1,1.1,1.3604711945838726,1.0688571887425709,1.1367614018431844
2021Q2,1.0,0.5842641290023385,0.38958155397785255,0.3207841288580561
2021Q3,0.6,1.5502331118578179,1.0896098314930014,1.2791329544795897
2021Q4,0.3,-0.5158498034334152,-0.2653910498341051,1.1303086001947016
2022Q1,-0.3,0.5156132740493949,1.4434331797175117,1.1421870428468586
2022Q2,-0.3,-0.22863933338608,-0.6733838720263613,0.2901475816520839
2022Q3,0.2,0.47883790254488245,-0.3066825812157318,0.5358364648634816
2022Q4,0.4,-0.22720789081851955,0.4820066785006705,0.2891853164719307
2023Q1,0.6,0.9421010347032795,0.3731928490209406,0.9315123934191177
2023Q2,0.9,1.2045947237364856,-0.035586790485116704,-0.05541696742604241
2023Q3,0.8,0.24688241415772882,0.40266776171994173,-0.3803817738418147
2023Q4,0.5,1.10840301629191,0.8607371371069251,0.7476303866339679
2024Q1,0.6,0.7277190849564199,0.23308744738494114,0.3138184947902022
2024Q2,0.3,1.1246509084049383,0.7460059061815095,0.9972444662815144
2024Q3,0.1,0.7351885686588979,1.3762622724450346,0.555120435306238
2024Q4,0.3,0.6661831719728053,0.39505812435980664,0.6900800299753203
2025Q1,0.1,0.43983168431653874,0.39506683167635254,1.0118506978261748
2025Q2,0.2,0.7773365219463003,1.390359798733873,0.598231839650783
2025Q3,0.3,0.4731217612116224,0.9509018812145006,0.6780249905313298
2025Q4,0.2,0.15362276447886225,0.7026830871386276,0.5639065290035933
2026Q1,0.2,1.0606105728181234,0.8623031932826121,0.33350576308863744
