series,loading,sigma2,idio_ar1,idio_level_var,sn_weight
ip_total,-0.30652070028252903,0.7818403865743091,-0.08493833848051398,0.7875219807128979,0.11930452990866369
ip_manuf,-0.3288649783376861,0.7526684672143897,-0.07720254704583067,0.7571814452561072,0.14283521427346335
retail_vol,-0.2400870002390656,0.844039622652261,-0.08985896673146837,0.8509104127184018,0.06774128841559834
construction,-0.07599029805950572,0.9161620616202832,-0.22315937497417013,0.9641782408326183,0.0059890642151247
exports_vol,-0.30203509461513406,0.8034981546337857,0.05177520223083369,0.8056578587476902,0.11323069388409229
imports_vol,-0.33275834200630183,0.6949237307265753,0.00016618257043914678,0.6949237499180391,0.15933850899158716
unemp_rate,0.23472407386592495,0.6653755461304779,0.45411088783730424,0.8382332367451109,0.06572799602429694
services_iaf,-0.1961714171336656,0.8897992247072081,0.18933874262874248,0.9228838344517399,0.04169888285354187
services_H,-0.25962699475820933,0.7469707256310876,-0.17402570073570042,0.7702991939819761,0.08750648700374529
services_J,-0.036808320019537565,0.8905328753847512,-0.323414942280227,0.9945612188609438,0.0013622614646209331
services_N,-0.1431644180420237,0.9460390452399428,0.05289508692359197,0.9486933851847507,0.0216045045885082
real_wage_bill,-0.20252673932498705,0.18804391718539773,0.8864951329362524,0.8781912710493687,0.0467063172839319
hicp,0.0027204791777233044,0.8647690966719431,0.3626604969288498,0.9957301508948526,7.432743650249875e-06
esi_sk,-0.26723983024374154,0.2669431804349575,0.7925015272874835,0.7177023886411953,0.09950799662784422
ind_conf_sk,-0.2675437104067766,0.5373203329780375,0.4852306730145752,0.7027918303166723,0.10185041130311936
cons_conf_sk,-0.11049306388445751,0.10264419452065864,0.9249323307630245,0.7103395444066501,0.017187156850141022
esi_de,-0.24438316719662953,0.05177682466652816,0.9723448117355924,0.9492398269554256,0.06291680006791399
esi_ea,-0.2475632913695001,0.06525357949585449,0.950801252038714,0.6798878240705066,0.09014366938764927
bond_10y,0.12563032766238313,0.8650786865735011,0.30124108547175044,0.9514160716831328,0.01658893485017167
eur_usd,0.009191896336874712,0.9134547970734884,0.2896755422087625,0.9971255131145645,8.473452655317142e-05
gdp_qoq,-0.044375835006226515,0.075308609182672,-0.7895929091111132,0.2000000042661316,0.009846073452475967
