quarter,edition,final_target,flash_target,nc_final_inputs,nc_vintage_inputs
2014Q1,201404,0.6,0.6042314455960707,1.385979789467436,1.1104108874832208
2014Q2,201407,0.8,0.6006024060212667,1.3077811270730915,1.1572808032481372
2014Q3,201410,1.0,0.547946576462266,0.8183678885075742,0.8079994056950315
2014Q4,201501,1.1,0.5449604767566285,0.9200385899036043,0.9456185612981135
2015Q1,201504,1.9,0.5420067469337653,1.1629766291321035,0.9511537104112958
2015Q2,201507,1.2,0.5361943141384273,1.3939163071375222,1.2790574295243309
2015Q3,201510,1.2,1.0582109330538714,1.4169723204629752,1.2706865373792864
2015Q4,201601,0.7,1.0471299867294448,1.2219222609891929,1.1635552232816693
2016Q1,201604,0.0,1.0362787035546717,1.1925166363423558,0.9566415595750626
2016Q2,201607,0.2,1.025650016718771,1.0330192142189063,0.972871683924642
2016Q3,201610,0.4,0.5063301956546695,0.9509152553441885,1.027082927264579
2016Q4,201701,0.6,0.5037794029956189,1.1347503937143804,1.30663706086228
2017Q1,201704,0.7,1.0000083334585241,1.3339879444725122,1.2742774097063727
2017Q2,201707,0.9,0.9901070982710536,1.4366571475791279,1.2969932623167042
2017Q3,201710,0.8,0.9804000096618637,1.5492675771566269,1.2378613765003843
2017Q4,201801,1.2,0.8593198541923641,1.6315197882149803,1.3332385416979644
2018Q1,201804,1.0,0.8785212215446592,1.2417633664891343,1.2459506359495853
2018Q2,201807,1.2,1.0537758143975395,1.1212790427637542,1.0805622083638322
2018Q3,201810,1.0,1.0949836726936724,0.8304515189202396,0.8649084069775514
2018Q4,201901,0.5,0.8227201846661814,0.712933878328091,0.7954371409013894
2019Q1,201904,0.7,0.9326242143703922,0.5277202894958153,0.5470930966517202
2019Q2,201907,0.2,0.45547707132840287,0.18819541586663258,0.4423564937640242
2019Q3,201910,0.3,0.36769484748298,0.04276769889999621,0.09042721550294242
2019Q4,202001,0.6,0.603968517197373,0.15860038970089363,0.6859544587862383
2020Q1,202004,-2.3,-5.29323331029623,1.2152486483529479,0.8559277619515718
2020Q2,202007,-7.7,-8.666988932250774,-6.569708529893294,0.7015845487698185
2020Q3,202010,9.9,11.012427410197745,6.793897428472351,5.699252712058694
2020Q4,202101,0.8,0.24131044768651577,1.8479442546365905,1.4207724637888042
2021Q1,202104,1.1,-2.0410215955688926,1.144737894481699,1.3491324948941272
2021Q2,202107,1.0,1.9901098730834121,-0.03923654865422721,0.36326319847904986
2021Q3,202110,0.6,0.37379216744959365,0.21255283157680405,-0.22186058567384348
2021Q4,202201,0.3,0.34750278376129984,1.3034716932277075,1.2281798423692687
2022Q1,202204,-0.3,0.3593524792186997,1.4363697066183923,0.9172553766612214
2022Q2,202207,-0.3,0.4521012007423053,0.6471270957890745,0.6061942996190499
2022Q3,202210,0.2,0.3563432620424578,0.7608900963887095,0.8650692647913535
2022Q4,202301,0.4,0.2692812206472439,0.6188216218530284,0.7617182345690358
2023Q1,202304,0.6,0.26012685588092666,1.335209653890266,1.0158545811846416
2023Q2,202307,0.9,0.39634175030691665,0.609651475411265,0.6184073290510296
2023Q3,202310,0.8,0.246195292338669,0.0697587507169336,0.28530014260873204
2023Q4,202401,0.5,0.34717357238278623,0.448671116272337,0.43386501580235964
2024Q1,202404,0.6,0.6683729987553733,0.5657260713472241,0.5768810570807529
2024Q2,202407,0.3,0.40656492796173893,0.46328265144447794,0.5751826529925425
2024Q3,202410,0.1,0.2966365021926265,0.9167548038424082,0.8643804897078536
2024Q4,202501,0.3,0.4979516008571494,0.6906726047802529,0.6720278722295726
2025Q1,202504,0.1,0.1893760781737086,0.9023881886242447,0.6919972064436182
2025Q2,202507,0.2,0.1067063153548986,0.7130766185514273,0.7236663221238444
2025Q3,202510,0.3,0.2526746172367922,0.2526319725378404,0.2509690956460151
2025Q4,202601,0.2,0.25690348900084814,0.9733147248254964,0.8810279783458602
